F_Measure_Type_Name__c,F_Equipment_Name_Proposed__c,I_EER_MC04__c,P_Cooling_Hrs_mc4__c,i_Qty_Prop_Equip_mc__c,i_SEER_MC04__c,i_unit_cooling_BTUH__c,i_unit_cooling_tons_mc__c,County__c,Customer_Therms__c,Customer_kW__c,Customer_kWh__c,Electric_Rebate__c,F_COOL_SEER_Cost__c,F_COOL_SEER_MN_PCkW__c,F_COOL_SEER_MN_Rebate__c,F_COOL_SEER_MN_kW__c,F_Centrifugal_Chiller_PCkW__c,F_Centrifugal_Chiller_Rebate__c,F_Centrifugal_Chiller_kW__c,F_Centrifugal_Chiller_kWh__c,F_Cool_Cost_mc4__c,F_Cool_EER_SEER_MC_PCKW__c,F_Cool_EER_SEER_MC_Rebate__c,F_Cool_EER_SEER_MC_kW__c,F_Cool_EER_SEER_MC_kWh__c,F_Cool_FLV_IPLV_mc4_Rebate__c,F_County_Zone__c,F_County_to_Zone_MC4__c,F_Equip_Building_Type__c,F_MSHP_EER_Eff__c,F_MSHP_EER_Std__c,F_MSHP_Total_kWh__c,F_MSHP_Total_v3_kWh__c,F_Measure_Name__c,F_Mini_Split_Cool_PCkW__c,F_Mini_Split_Cooling_kW__c,F_Net_Gen_kW__c,F_Net_Gen_kWh__c,F_Net_Therms__c,F_Products_Name__c,F_Program_Name__c,F_VFD_Chiller_mc4_PCkW__c,F_VFD_Chiller_mc4_Rebate__c,F_VFD_Chiller_mc4_kW__c,F_VFD_Chiller_mc4_kWh__c,F_kAdj_Value__c,F_k_Adj_2012__c,F_k_Adj_2015__c,Gas_Rebate__c,I_AHRI__c,I_EER__c,I_Invoice_Cost__c,I_Mark_Seg__c,I_Qty_Prop_Equip__c,I_SEER_IEER__c,I_Unit_Tons__c,Increm_Electric_Capital_Cost__c,Increm_Gas_Capital_Cost__c,LastModifiedById,LastModifiedDate,LastReferencedDate,LastViewedDate,Line_Item_Number__c,Measure_Name__c,Online_Application_Measure__c,PC_kW_Customer__c,Uncapped_Electric_Rebate__c,Uncapped_Gas_Rebate__c,Units_Electric__c,Units_Gas__c,county__c,eo3__Completion_Date__c,eo3__Eligible_Equipment_Type_1__c,AF_Date__c,Name,i_Facility_Type__c
Cool EER-SEER,MN - RTUS - 5.42 - 11.24 tons,12.6,589,3,14.5,,7.5,Pope MN3,,3.117,3232,3847.5,3375,2.805194805,2677.5,3.116883117,,,,,3375,2.805194805,3847.5,3.116883117,3231.520936,1125,MN3,MN3,Manufacturing,12.6,,,,DX Units >= 5.42 Tons,,,3.0509,3462.24,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,1125,0,0,,0,0,,TRUE,,27282,,3,,,3375,,005U0000000HtWKIA0,1.615E+12,,,1,DX Units >= 5.42 Tons,a5Q4O000000vspzUAA,2.805,3847.5,0,3,0,Pope MN3,2021-01-08,,2021-06-02,OID4482979-0001,Manufacturing
Cool SEER - MN,MN - RTUS < 5.42 tons,11.5,446,3,14,,2.87,,,0.366,253,507.99,1980.3,0.329290576,507.99,0.365878418,,,,,1980.3,0.329290576,507.99,0.365878418,253.1907692,430.5,MN1,MN3,Office-Low Rise (<25k SF 1-2 Story),11.5,,,,DX Units < 5.42 Tons,,,0.35784,271.02,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,430.5,0,0,,0,0,,TRUE,,27150,,3,,,1980.3,,005U0000000HtWKIA0,1.6144E+12,,,1,DX Units < 5.42 Tons,,0.329,507.99,0,3,0,Hennepin MN3,2020-11-30,Cool EER-SEER,2021-03-08,OID4480982-0001,Office-Low Rise (<25k SF 1-2 Story)
Cool SEER - MN,MN - RTUS < 5.42 tons,,1298,1,14,,2.87,,,0.223,246,169.33,660.1,0.200361991,169.33,0.222624434,,,,,660.1,,169.33,,245.6215385,143.5,MN1,MN3,Health/Medical - Hospital,,,,,DX Units < 5.42 Tons,,,0.21753,263.52,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,143.5,0,0,,0,0,,TRUE,,,,1,,,660.1,,005U0000000HtWKIA0,1.6144E+12,,,1,DX Units < 5.42 Tons,,0.2,169.33,0,1,0,Goodhue MN3,2020-09-24,Cool EER-SEER,2021-07-25,OID4480992-0001,Health/Medical - Hospital
Cool SEER - MN,MN - RTUS < 5.42 tons,,1298,2,14,,4.87,,,0.756,834,574.66,2240.2,0.679974144,574.66,0.755526826,,,,,2240.2,,574.66,,833.5727473,487,MN1,MN3,Health/Medical - Hospital,,,,,DX Units < 5.42 Tons,,,0.73961,893.41,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,487,0,0,,0,0,,FALSE,,,,2,,,2240.2,,005U0000000HtWKIA0,1.6144E+12,,,2,DX Units < 5.42 Tons,,0.68,574.66,0,2,0,Goodhue MN3,2020-09-24,Cool EER-SEER,2021-07-25,OID4480992-0002,Health/Medical - Hospital
Cool SEER - MN,MN - RTUS < 5.42 tons,14,446,1,14,,5,Ramsey MN3,,1.144,147,295,1150,1.029734971,295,1.144149968,,,,,1150,1.029734971,295,1.144149968,147.032967,250,MN3,MN3,Office-Low Rise (<25k SF 1-2 Story),14,,,,DX Units < 5.42 Tons,,,1.1203,157.47,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,250,0,0,,0,0,,FALSE,,5100,,1,,,1150,,005U0000000HtWKIA0,1.615E+12,,,1,DX Units < 5.42 Tons,a5Q4O000000vssKUAQ,1.03,295,0,1,0,Ramsey MN3,2021-08-18,Cool EER-SEER,2021-06-02,OID4484284-0001,Office-Low Rise (<25k SF 1-2 Story)
Cool SEER - MN,MN - RTUS < 5.42 tons,14,446,1,14,,5,Ramsey MN3,,1.144,147,295,1150,1.029734971,295,1.144149968,,,,,1150,1.029734971,295,1.144149968,147.032967,250,MN3,MN3,Office-Low Rise (<25k SF 1-2 Story),14,,,,DX Units < 5.42 Tons,,,1.1203,157.47,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,250,0,0,,0,0,,FALSE,,5100,,1,,,1150,,005U0000000HtWKIA0,1.615E+12,,,2,DX Units < 5.42 Tons,a5Q4O000000vssLUAQ,1.03,295,0,1,0,Ramsey MN3,2020-08-18,Cool EER-SEER,2021-06-02,OID4484284-0002,Office-Low Rise (<25k SF 1-2 Story)
Cool SEER - MN,MN - RTUS < 5.42 tons,,754,1,14,,3,,,0.233,149,177,690,0.209437621,177,0.232708468,,,,,690,,177,,149.1428571,150,MN1,MN3,Lodging,,,,,DX Units < 5.42 Tons,,,0.22732,159.61,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,150,0,0,,0,0,,TRUE,,7000,,1,,,690,,005U0000000HtWKIA0,1.61422E+12,,,1,DX Units < 5.42 Tons,,0.209,177,0,1,0,Hennepin MN3,2021-02-23,Cool EER-SEER,2022-02-23,OID4479555-0001,Lodging
Cool SEER - MN,MN - RTUS < 5.42 tons,12.5,865,1,16,,3,,,0.378,449,357,690,0.340126697,357,0.377918552,,,,,690,0.340126697,357,0.377918552,449.1346154,150,MN1,MN3,Health/Medical - Clinic,12.5,,,,DX Units < 5.42 Tons,,,0.36981,480.99,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,150,0,0,,0,0,,TRUE,,4750,,1,,,690,,005U0000000HtWKIA0,1.61422E+12,,,1,DX Units < 5.42 Tons,,0.34,357,0,1,0,Goodhue MN3,2020-11-24,Cool EER-SEER,2021-04-30,OID4479674-0001,Health/Medical - Clinic
Cool SEER - MN,MN - RTUS < 5.42 tons,,574,1,16.1,,3.91,,,0.818,399,477.02,899.3,0.735824176,477.02,0.817582418,,,,,899.3,,477.02,,398.8984615,195.5,MN1,MN3,Retail - Strip Mall,,,,,DX Units < 5.42 Tons,,,0.80052,427.42,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,195.5,0,0,,0,0,,TRUE,,4652,,1,,,899.3,,005U0000000HtWKIA0,1.61422E+12,,,1,DX Units < 5.42 Tons,,0.736,477.02,0,1,0,Hennepin MN3,2020-10-27,Cool EER-SEER,2021-07-05,OID4467720-0001,Retail - Strip Mall
Cool SEER - MN,MN - RTUS < 5.42 tons,11.5,574,1,14,,3,,,0.127,114,177,690,0.114735392,177,0.127483769,,,,,690,0.114735392,177,0.127483769,113.5384615,150,MN1,MN3,Retail - Strip Mall,11.5,,,,DX Units < 5.42 Tons,,,0.12508,122.12,0,MN - HVAC+R Cooling - Prescriptive,HVAC+R Systems - MN,0,150,0,0,,0,0,,TRUE,,18627,,1,,,690,,005U0000000HtWKIA0,1.61422E+12,,,1,DX Units < 5.42 Tons,,0.115,177,0,1,0,Ramsey MN3,2021-02-19,Cool EER-SEER,2021-06-01,OID4479351-0001,Retail - Strip Mall
