,AHRI Certified Reference Number,Model Status,Manufacturer,Model Number,Indoor Unit Model Number,AHRI Type,unit cooling BTUH,Equipment EER,Equipment SEER/IEER,Full Load Indoor Coil Air Quantity (scfm)
6,201978170,Active,trane,"WSC120H(3,4,W)*(G,K,N,P)A",,HSP-A,115000.0,11.0,12.2,4000.0
7,201978171,Active,american standard,"WSC120H(3,4,W)*(G,K,N,P)A",,HSP-A,115000.0,11.0,12.2,4000.0
8,201978172,Active,trane,"WSC120H(3,4,W)*(G,K,N,P)A***6",,HSP-A,115000.0,11.0,13.4,4000.0
9,201978173,Active,american standard,"WSC120H(3,4,W)*(G,K,N,P)A***6",,HSP-A,115000.0,11.0,13.4,4000.0
10,201978174,Active,trane,"WSC120H(3,4,W)*(G,K,N,P)A***7",,HSP-A,115000.0,11.0,12.9,4000.0
11,201978175,Active,american standard,"WSC120H(3,4,W)*(G,K,N,P)A***7",,HSP-A,115000.0,11.0,12.9,4000.0
12,201986864,Active,fujitsu,RGEDZR090AC*****A,,SPY-A,85000.0,11.0,12.7,3175.0
13,201986865,Active,fujitsu,RGEDZR090AD*****A,,SPY-A,85000.0,11.0,12.7,3175.0
14,201986866,Active,fujitsu,RGEDZR102AC*****A,,SPY-A,96000.0,11.0,12.7,3200.0
15,201986867,Active,fujitsu,RGEDZR102AD*****A,,SPY-A,96000.0,11.0,12.7,3200.0
16,201986868,Active,fujitsu,RGEDZR120AC*****A,,SPY-A,114000.0,11.0,12.7,3480.0
17,201986869,Active,fujitsu,RGEDZR120AD*****A,,SPY-A,114000.0,11.0,12.7,3480.0
18,201986870,Active,fujitsu,RACDZR090AC*****A,,SPY-A,85000.0,11.2,12.9,3175.0
19,201986871,Active,fujitsu,RACDZR090AD*****A,,SPY-A,85000.0,11.2,12.9,3175.0
20,201986872,Active,fujitsu,RACDZR102AC*****A,,SPY-A,96000.0,11.2,12.9,3275.0
21,201986873,Active,fujitsu,RACDZR102AD*****A,,SPY-A,96000.0,11.2,12.9,3275.0
22,201986874,Active,fujitsu,RACDZR120AC*****A,,SPY-A,114000.0,11.2,12.9,3480.0
23,201986875,Active,fujitsu,RACDZR120AD*****A,,SPY-A,114000.0,11.2,12.9,3480.0
24,201986876,Active,fujitsu,RACDZS090AC*****A,,SPY-A,85000.0,11.2,12.9,3175.0
25,201986877,Active,fujitsu,RACDZS090AD*****A,,SPY-A,85000.0,11.2,12.9,3175.0
26,201986878,Active,fujitsu,RACDZS102AC*****A,,SPY-A,96000.0,11.2,12.9,3225.0
