,AHRI Certified Reference Number,Model Status,Manufacturer,Model Number,Indoor Unit Model Number,AHRI Type,unit cooling BTUH,Equipment EER,Equipment SEER/IEER,Full Load Indoor Coil Air Quantity (scfm)
219,10045328,Active,daikin,RPS045DSY-S-6-0,,SP-A,510000.0,10.5,14.4,11250.0
220,10045329,Active,daikin,RPS045DSY-Y-6-0,,SP-A,510000.0,10.5,13.0,11250.0
221,10045330,Active,daikin,RPS050DLA-S-6-0,,SPY-A,570000.0,9.8,13.3,15500.0
222,10045331,Active,daikin,RPS050DLA-Y-6-0,,SPY-A,570000.0,9.8,11.5,15500.0
223,10045332,Active,daikin,RPS050DLE-S-6-0,,SPY-A,570000.0,10.0,13.5,15500.0
224,10045333,Active,daikin,RPS050DLE-Y-6-0,,SPY-A,570000.0,10.0,11.7,15500.0
225,10045334,Active,daikin,RPS050DLY-S-6-0,,SP-A,570000.0,10.0,13.5,15500.0
226,10045335,Active,daikin,RPS050DLY-Y-6-0,,SP-A,570000.0,10.0,11.7,15500.0
227,10045336,Active,daikin,RPS051DLA-S-4-0,,SPY-A,555000.0,10.1,13.8,12500.0
228,10045337,Active,daikin,RPS051DLA-S-6-0,,SPY-A,580000.0,10.3,14.0,12500.0
229,10045338,Active,daikin,RPS051DLA-Y-4-0,,SPY-A,555000.0,10.1,12.2,12500.0
230,10045339,Active,daikin,RPS051DLA-Y-6-0,,SPY-A,580000.0,10.3,12.4,12500.0
231,10045340,Active,daikin,RPS051DLE-S-4-0,,SPY-A,555000.0,10.3,14.0,12500.0
232,10045341,Active,daikin,RPS051DLE-S-6-0,,SPY-A,580000.0,10.5,14.2,12500.0
233,10045342,Active,daikin,RPS051DLE-Y-4-0,,SPY-A,555000.0,10.3,12.4,12500.0
234,10045343,Active,daikin,RPS051DLE-Y-6-0,,SPY-A,580000.0,10.5,12.6,12500.0
235,10045344,Active,daikin,RPS051DLY-S-4-0,,SP-A,555000.0,10.3,14.0,12500.0
236,10045345,Active,daikin,RPS051DLY-S-6-0,,SP-A,580000.0,10.5,14.2,12500.0
237,10045346,Active,daikin,RPS051DLY-Y-4-0,,SP-A,555000.0,10.3,12.4,12500.0
238,10045347,Active,daikin,RPS051DLY-Y-6-0,,SP-A,580000.0,10.5,12.6,12500.0
239,10045348,Active,daikin,RPS051DSA-S-4-0,,SPY-A,540000.0,10.0,13.7,12500.0
240,10045349,Active,daikin,RPS051DSA-S-6-0,,SPY-A,565000.0,10.2,13.9,12500.0
241,10045350,Active,daikin,RPS051DSA-Y-4-0,,SPY-A,540000.0,10.0,12.1,12500.0
242,10045351,Active,daikin,RPS051DSA-Y-6-0,,SPY-A,565000.0,10.2,12.3,12500.0
243,10045352,Active,daikin,RPS051DSE-S-4-0,,SPY-A,540000.0,10.2,13.9,12500.0
244,10045353,Active,daikin,RPS051DSE-S-6-0,,SPY-A,565000.0,10.4,14.1,12500.0
245,10045354,Active,daikin,RPS051DSE-Y-4-0,,SPY-A,540000.0,10.2,12.3,12500.0
246,10045355,Active,daikin,RPS051DSE-Y-6-0,,SPY-A,565000.0,10.4,12.5,12500.0
247,10045356,Active,daikin,RPS051DSY-S-4-0,,SP-A,540000.0,10.2,13.9,12500.0
248,10045357,Active,daikin,RPS051DSY-S-6-0,,SP-A,565000.0,10.4,14.1,12500.0
249,10045358,Active,daikin,RPS051DSY-Y-4-0,,SP-A,540000.0,10.2,12.3,12500.0
0,10045359,Active,daikin,RPS051DSY-Y-6-0,,SP-A,565000.0,10.4,12.5,12500.0
1,10045360,Active,daikin,RPS061DLA-S-6-0,,SPY-A,650000.0,9.8,13.1,16000.0
2,10045362,Active,daikin,RPS061DLE-S-6-0,,SP-A,650000.0,10.0,13.3,16000.0
3,10045364,Active,daikin,RPS061DLY-S-6-0,,SP-A,650000.0,10.0,13.3,16000.0
4,10045366,Active,daikin,RPS063DLA-S-4-0,,SPY-A,650000.0,10.1,13.4,17000.0
5,10045367,Active,daikin,RPS063DLA-S-6-0,,SPY-A,670000.0,10.3,13.6,17000.0
6,10045368,Active,daikin,RPS063DLA-Y-4-0,,SPY-A,650000.0,10.1,11.4,17000.0
7,10045369,Active,daikin,RPS063DLA-Y-6-0,,SPY-A,670000.0,10.3,11.6,17000.0
8,10045370,Active,daikin,RPS063DLE-S-4-0,,SPY-A,650000.0,10.3,13.6,17000.0
9,10045371,Active,daikin,RPS063DLE-S-6-0,,SPY-A,670000.0,10.5,13.8,17000.0
10,10045372,Active,daikin,RPS063DLE-Y-4-0,,SPY-A,650000.0,10.3,11.6,17000.0
11,10045373,Active,daikin,RPS063DLE-Y-6-0,,SPY-A,670000.0,10.5,11.8,17000.0
12,10045374,Active,daikin,RPS063DLY-S-4-0,,SP-A,650000.0,10.3,13.6,17000.0
13,10045375,Active,daikin,RPS063DLY-S-6-0,,SP-A,670000.0,10.5,13.8,17000.0
14,10045376,Active,daikin,RPS063DLY-Y-4-0,,SP-A,650000.0,10.3,11.6,17000.0
15,10045377,Active,daikin,RPS063DLY-Y-6-0,,SP-A,670000.0,10.5,11.8,17000.0
16,10045378,Active,daikin,RPS063DSA-S-4-0,,SPY-A,625000.0,10.0,13.3,17000.0
17,10045379,Active,daikin,RPS063DSA-S-6-0,,SPY-A,655000.0,10.2,13.5,17000.0
18,10045381,Active,daikin,RPS063DSA-Y-6-0,,SPY-A,655000.0,10.2,11.5,17000.0
19,10045382,Active,daikin,RPS063DSE-S-4-0,,SPY-A,625000.0,10.2,13.5,17000.0
20,10045383,Active,daikin,RPS063DSE-S-6-0,,SPY-A,655000.0,10.4,13.7,17000.0
21,10045385,Active,daikin,RPS063DSE-Y-6-0,,SPY-A,655000.0,10.4,11.7,17000.0
22,10045386,Active,daikin,RPS063DSY-S-4-0,,SP-A,625000.0,10.2,13.5,17000.0
23,10045387,Active,daikin,RPS063DSY-S-6-0,,SP-A,655000.0,10.4,13.7,17000.0
24,10045389,Active,daikin,RPS063DSY-Y-6-0,,SP-A,655000.0,10.4,11.7,17000.0
25,10049817,Active,petra,PPH4-95H,,SP-A,80000.0,11.7,13.0,2750.0
26,10049818,Active,petra,PPH4-105H,,SP-A,92000.0,11.65,12.9,3150.0
27,10049819,Active,petra,PPH4-115H,,SP-A,105000.0,11.8,13.0,3650.0
28,10049821,Active,petra,PPH4-135H,,SP-A,116000.0,11.7,12.9,3900.0
29,10049822,Active,petra,PPH4-160H,,SP-A,125000.0,11.6,12.9,4250.0
30,10049823,Active,petra,PPH4-175H,,SP-A,150000.0,11.5,12.8,5000.0
31,10049824,Active,petra,PPH4-195H,,SP-A,176000.0,11.4,12.8,6000.0
32,10049825,Active,petra,PPH4-230H,,SP-A,202000.0,11.3,12.6,7000.0
33,10049826,Active,petra,PPH4-275H,,SP-A,230000.0,11.3,12.6,7750.0
34,10049827,Active,petra,PPH4-300H,,SP-A,252000.0,10.8,12.4,8500.0
35,10049828,Active,petra,PPH4-360H,,SP-A,302000.0,11.2,12.8,10000.0
36,10049829,Active,petra,PPH4-400H,,SP-A,336000.0,10.9,12.4,10750.0
37,10049830,Active,petra,PPH4-450H,,SP-A,378000.0,10.8,12.2,12000.0
38,10049831,Active,petra,PPH4-530H,,SP-A,435000.0,10.85,12.6,14000.0
39,10049832,Active,petra,PPH4-640H,,SP-A,540000.0,10.7,12.4,16500.0
40,10049833,Active,petra,DSP4-95H,CM 24...48,RCU-A-CB,80000.0,11.7,13.0,2750.0
41,10049834,Active,petra,DSP4-105H,CM 30...60,RCU-A-CB,92000.0,11.65,12.9,3150.0
42,10049835,Active,petra,DSP4-115H,CM 30...60,RCU-A-CB,105000.0,11.8,13.0,3650.0
43,10049836,Active,petra,DSP4-135H,CM 38...75,RCU-A-CB,116000.0,11.7,12.9,3900.0
44,10049837,Active,petra,DSP4-160H,CM 48...75,RCU-A-CB,125000.0,11.6,12.9,4250.0
45,10049838,Active,petra,DSP4-175H,CM 48...96,RCU-A-CB,150000.0,11.5,12.8,5000.0
46,10049839,Active,petra,DSP4-195H,PAH100,RCU-A-CB,176000.0,11.4,12.8,6000.0
47,10049840,Active,petra,DSP4-230H,PAH100,RCU-A-CB,202000.0,11.3,12.4,7000.0
48,10049841,Active,petra,DSP4-275H,PAH100,RCU-A-CB,230000.0,11.3,12.6,7750.0
49,10049842,Active,daikin,RPS045DSA-S-4-0*,,SPY-A,490000.0,10.1,14.0,11250.0
50,10049843,Active,daikin,RPS045DSA-S-5-0*,,SPY-A,500000.0,10.2,14.1,11250.0
51,10049844,Active,daikin,RPS045DSA-Y-4-0*,,SPY-A,490000.0,10.1,12.6,11250.0
52,10049845,Active,daikin,RPS045DSA-Y-5-0*,,SPY-A,500000.0,10.2,12.7,11250.0
53,10049846,Active,daikin,RPS045DSE-S-4-0*,,SPY-A,490000.0,10.3,14.2,11250.0
54,10049847,Active,daikin,RPS045DSE-S-5-0*,,SPY-A,500000.0,10.4,14.3,11250.0
55,10049848,Active,daikin,RPS045DSE-Y-4-0*,,SPY-A,490000.0,10.3,12.8,11250.0
56,10049849,Active,daikin,RPS045DSE-Y-5-0*,,SPY-A,500000.0,10.4,12.9,11250.0
57,10049850,Active,daikin,RPS045DSY-S-4-0*,,SP-A,490000.0,10.3,14.2,11250.0
58,10049851,Active,daikin,RPS045DSY-S-5-0*,,SP-A,500000.0,10.4,14.3,11250.0
59,10049852,Active,daikin,RPS045DSY-Y-4-0*,,SP-A,490000.0,10.3,12.8,11250.0
60,10049853,Active,daikin,RPS045DSY-Y-5-0*,,SP-A,500000.0,10.4,12.9,11250.0
61,10049854,Active,daikin,RPS051DLA-S-5-0*,,SPY-A,570000.0,10.2,13.9,12500.0
62,10049855,Active,daikin,RPS051DLA-Y-5-0*,,SPY-A,570000.0,10.2,12.3,12500.0
63,10049856,Active,daikin,RPS051DLE-S-5-0*,,SPY-A,570000.0,10.4,14.1,12500.0
64,10049857,Active,daikin,RPS051DLE-Y-5-0*,,SPY-A,570000.0,10.4,12.5,12500.0
65,10049858,Active,daikin,RPS051DLY-S-5-0*,,SP-A,570000.0,10.4,14.1,12500.0
66,10049859,Active,daikin,RPS051DLY-Y-5-0*,,SP-A,570000.0,10.4,12.5,12500.0
67,10049860,Active,daikin,RPS051DSA-S-5-0*,,SPY-A,555000.0,10.1,13.8,12500.0
68,10049861,Active,daikin,RPS051DSA-Y-5-0*,,SPY-A,555000.0,10.1,12.2,12500.0
69,10049862,Active,daikin,RPS051DSE-S-5-0*,,SPY-A,555000.0,10.3,14.0,12500.0
70,10049863,Active,daikin,RPS051DSE-Y-5-0*,,SPY-A,555000.0,10.3,12.4,12500.0
71,10049864,Active,daikin,RPS051DSY-S-5-0*,,SP-A,555000.0,10.3,14.0,12500.0
72,10049865,Active,daikin,RPS051DSY-Y-5-0*,,SP-A,555000.0,10.3,12.4,12500.0
73,10049866,Active,daikin,RPS063DLA-S-5-0*,,SPY-A,660000.0,10.2,13.5,17000.0
74,10049867,Active,daikin,RPS063DLA-Y-5-0*,,SPY-A,660000.0,10.2,11.5,17000.0
75,10049868,Active,daikin,RPS063DLE-S-5-0*,,SPY-A,660000.0,10.4,13.7,17000.0
76,10049869,Active,daikin,RPS063DLE-Y-5-0*,,SPY-A,660000.0,10.4,11.7,17000.0
77,10049870,Active,daikin,RPS063DLY-S-5-0*,,SP-A,660000.0,10.4,13.7,17000.0
78,10049871,Active,daikin,RPS063DLY-Y-5-0*,,SP-A,660000.0,10.4,11.7,17000.0
79,10049872,Active,daikin,RPS063DSA-S-5-0*,,SPY-A,645000.0,10.1,13.4,17000.0
80,10049873,Active,daikin,RPS063DSA-Y-5-0*,,SPY-A,645000.0,10.1,11.4,17000.0
81,10049874,Active,daikin,RPS063DSE-S-5-0*,,SPY-A,645000.0,10.3,13.6,17000.0
82,10049875,Active,daikin,RPS063DSE-Y-5-0*,,SPY-A,645000.0,10.3,11.6,17000.0
83,10049876,Active,daikin,RPS063DSY-S-5-0*,,SP-A,645000.0,10.3,13.6,17000.0
84,10049877,Active,daikin,RPS063DSY-Y-5-0*,,SP-A,645000.0,10.3,11.6,17000.0
85,10055617,Active,aaon,"RQ-006-2,8-*-KA**-000:",,SP-A,66000.0,11.2,20.1,1800.0
86,10055618,Active,aaon,"RQ-006-2,8-*-KA**-***:",,SPY-A,66000.0,11.2,20.1,1800.0
87,10055619,Active,aaon,RQ-006-3-*-KA**-000:,,SP-A,66000.0,11.2,19.4,1800.0
88,10055620,Active,aaon,RQ-006-3-*-KA**-***:,,SPY-A,66000.0,11.2,19.4,1800.0
89,10055621,Active,aaon,"RQ-006-2,8-*-KB**-000:",,SP-A,68000.0,11.3,19.8,1780.0
90,10055622,Active,aaon,"RQ-006-2,8-*-KB**-***:",,SPY-A,68000.0,11.3,19.8,1780.0
91,10055623,Active,aaon,RQ-006-3-*-KB**-000:,,SP-A,68000.0,11.2,19.2,1780.0
92,10055624,Active,aaon,RQ-006-3-*-KB**-***:,,SPY-A,68000.0,11.2,19.2,1780.0
93,10081793,Active,nordyne,"R7TQ072-(C,D)***********",,SPY-A,72000.0,11.0,12.7,2550.0
94,10081794,Active,nordyne,"R7TQ090-(C,D)***********",,SPY-A,90000.0,11.0,12.7,3150.0
95,10081795,Active,nordyne,"R7TQ120-(C,D)***********",,SPY-A,114000.0,11.0,12.7,3450.0
96,10091662,Active,york,"Z2[C,E][0,1,4,8]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
97,10091663,Active,york,"Z2[C,E][0,1,4,8][2,3,4](2,4,5)**********",,SP-A,288000.0,10.5,13.8,8000.0
98,10091664,Active,york,"Z2[C,E][0,1,4,8][5,6,7](2,4,5)**********",,SP-A,288000.0,10.5,13.3,8000.0
99,10091665,Active,york,"Z2[W,X][1,2]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
100,10091666,Active,york,"Z2[W,X][1,2][2,3,4](2,4,5)************",,SP-A,288000.0,10.5,13.8,8000.0
101,10091667,Active,york,"Z2[W,X][1,2][5,6,7](2,4,5)************",,SP-A,288000.0,10.5,13.3,8000.0
102,10091668,Active,york,"Z4[N,S,D,T][3,5,8]1(2,4,5)************",,SPY-A,435000.0,10.7,11.6,11650.0
103,10091669,Active,york,"Z4[N,S,D,T][3,5,8][2,3,4](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
104,10091670,Active,york,"Z4[N,S,D,T][3,5,8][5,6,7](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
105,10091671,Active,york,"Z4[C,E][0,1,2,4,8]1(2,4,5)************",,SP-A,435000.0,10.7,11.6,11650.0
106,10091672,Active,york,"Z4[C,E][0,1,2,4,8][2,3,4](2,4,5)********",,SP-A,435000.0,10.7,13.6,11650.0
107,10091673,Active,york,"Z4[C,E][0,1,2,4,8][5,6,7](2,4,5)********",,SP-A,435000.0,10.7,13.6,11650.0
108,10091674,Active,york,"Z4[W,X][1,2]1(2,4,5)************",,SP-A,435000.0,10.7,11.6,11650.0
109,10091675,Active,york,"Z4[W,X][1,2][2,3,4](2,4,5)************",,SP-A,435000.0,10.7,13.6,11650.0
110,10091676,Active,york,"Z4[W,X][1,2][5,6,7](2,4,5)************",,SP-A,435000.0,10.7,13.6,11650.0
111,10091677,Active,york,"Z2[N,S,D,T][3,5]1(2,4,5)***********",,SPY-A,288000.0,10.5,11.9,8000.0
112,10091678,Active,york,"Z2[N,S,D,T][3,5][2,3,4](2,4,5)*********",,SPY-A,288000.0,10.5,13.8,8000.0
113,10091679,Active,york,"Z2[N,S,D,T][3,5][5,6,7](2,4,5)*********",,SPY-A,288000.0,10.5,13.3,8000.0
114,10091900,Active,york,"XXE12A(2,4,5)*3*********",,HSP-A,116000.0,11.0,13.4,3800.0
115,10091915,Active,"champion, unitary products group - commercial","X2[N,S,D,T][3,5]1(2,4,5)**",,SPY-A,288000.0,10.5,11.9,8000.0
116,10091922,Active,"champion, unitary products group - commercial","XXE12A(2,4,5)*3*********",,HSP-A,116000.0,11.0,13.4,3800.0
117,10091923,Active,coleman,"XXE12A(2,4,5)*3*********",,HSP-A,116000.0,11.0,13.4,3800.0
118,10091924,Active,fraser - johnston,"XXE12A(2,4,5)*3*********",,HSP-A,116000.0,11.0,13.4,3800.0
119,10091925,Active,johnson controls,"XXE12A(2,4,5)*3*********",,HSP-A,116000.0,11.0,13.4,3800.0
120,10091926,Active,luxaire,"XXE12A(2,4,5)*3*********",,HSP-A,116000.0,11.0,13.4,3800.0
121,10091927,Active,"tempmaster, unitary products group - commercial","XXE12A(2,4,5)*3*********",,HSP-A,116000.0,11.0,13.4,3800.0
122,10092308,Active,coleman,"X2[C,E][0,1,4,8][2,3,4](2,4,5)**********",,SP-A,288000.0,10.5,13.8,8000.0
123,10092309,Active,"champion, unitary products group - commercial","X2[C,E][0,1,4,8][2,3,4](2,4,5)**********",,SP-A,288000.0,10.5,13.8,8000.0
124,10092310,Active,fraser - johnston,"X2[C,E][0,1,4,8][2,3,4](2,4,5)**********",,SP-A,288000.0,10.5,13.8,8000.0
125,10092311,Active,luxaire,"X2[C,E][0,1,4,8][2,3,4](2,4,5)**********",,SP-A,288000.0,10.5,13.8,8000.0
126,10092312,Active,johnson controls,"S2[C,E][0,1,4,8][2,3,4](2,4,5)**********",,SP-A,288000.0,10.5,13.8,8000.0
127,10092314,Active,"tempmaster, unitary products group - commercial","T2[C,E][0,1,4,8][2,3,4](2,4,5)**********",,SP-A,288000.0,10.5,13.8,8000.0
128,10092315,Active,coleman,"X2[N,S,D,T][3,5]1(2,4,5)***********",,SPY-A,288000.0,10.5,11.9,8000.0
129,10092316,Active,fraser - johnston,"X2[N,S,D,T][3,5]1(2,4,5)***********",,SPY-A,288000.0,10.5,11.9,8000.0
130,10092317,Active,luxaire,"X2[N,S,D,T][3,5]1(2,4,5)***********",,SPY-A,288000.0,10.5,11.9,8000.0
131,10092318,Active,johnson controls,"S2[N,S,D,T][3,5]1(2,4,5)***********",,SPY-A,288000.0,10.5,11.9,8000.0
132,10092319,Active,"tempmaster, unitary products group - commercial","T2[N,S,D,T][3,5]1(2,4,5)***********",,SPY-A,288000.0,10.5,11.9,8000.0
133,10092320,Active,"champion, unitary products group - commercial","X2[N,S,D,T][3,5][2,3,4](2,4,5)*********",,SPY-A,288000.0,10.5,13.8,8000.0
134,10092321,Active,coleman,"X2[N,S,D,T][3,5][2,3,4](2,4,5)*********",,SPY-A,288000.0,10.5,13.8,8000.0
135,10092322,Active,fraser - johnston,"X2[N,S,D,T][3,5][2,3,4](2,4,5)*********",,SPY-A,288000.0,10.5,13.8,8000.0
136,10092323,Active,luxaire,"X2[N,S,D,T][3,5][2,3,4](2,4,5)*********",,SPY-A,288000.0,10.5,13.8,8000.0
137,10092324,Active,johnson controls,"S2[N,S,D,T][3,5][2,3,4](2,4,5)*********",,SPY-A,288000.0,10.5,13.8,8000.0
138,10092325,Active,"tempmaster, unitary products group - commercial","T2[N,S,D,T][3,5][2,3,4](2,4,5)*********",,SPY-A,288000.0,10.5,13.8,8000.0
139,10092326,Active,"champion, unitary products group - commercial","X2[N,S,D,T][3,5][5,6,7](2,4,5)*********",,SPY-A,288000.0,10.5,13.3,8000.0
140,10092327,Active,coleman,"X2[N,S,D,T][3,5][5,6,7](2,4,5)*********",,SPY-A,288000.0,10.5,13.3,8000.0
141,10092328,Active,fraser - johnston,"X2[N,S,D,T][3,5][5,6,7](2,4,5)*********",,SPY-A,288000.0,10.5,13.3,8000.0
142,10092329,Active,luxaire,"X2[N,S,D,T][3,5][5,6,7](2,4,5)*********",,SPY-A,288000.0,10.5,13.3,8000.0
143,10092330,Active,johnson controls,"S2[N,S,D,T][3,5][5,6,7](2,4,5)*********",,SPY-A,288000.0,10.5,13.3,8000.0
144,10092331,Active,"tempmaster, unitary products group - commercial","T2[N,S,D,T][3,5][5,6,7](2,4,5)*********",,SPY-A,288000.0,10.5,13.3,8000.0
145,10092332,Active,"champion, unitary products group - commercial","X2[C,E][0,1,4,8]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
146,10092333,Active,coleman,"X2[C,E][0,1,4,8]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
147,10092334,Active,fraser - johnston,"X2[C,E][0,1,4,8]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
148,10092335,Active,luxaire,"X2[C,E][0,1,4,8]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
149,10092336,Active,johnson controls,"S2[C,E][0,1,4,8]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
150,10092337,Active,"tempmaster, unitary products group - commercial","T2[C,E][0,1,4,8]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
151,10092338,Active,"champion, unitary products group - commercial","X2[C,E][0,1,4,8][5,6,7](2,4,5)**********",,SP-A,288000.0,10.5,13.3,8000.0
152,10092339,Active,coleman,"X2[C,E][0,1,4,8][5,6,7](2,4,5)**********",,SP-A,288000.0,10.5,13.3,8000.0
153,10092340,Active,fraser - johnston,"X2[C,E][0,1,4,8][5,6,7](2,4,5)**********",,SP-A,288000.0,10.5,13.3,8000.0
154,10092341,Active,luxaire,"X2[C,E][0,1,4,8][5,6,7](2,4,5)**********",,SP-A,288000.0,10.5,13.3,8000.0
155,10092342,Active,johnson controls,"S2[C,E][0,1,4,8][5,6,7](2,4,5)**********",,SP-A,288000.0,10.5,13.3,8000.0
156,10092343,Active,"tempmaster, unitary products group - commercial","T2[C,E][0,1,4,8][5,6,7](2,4,5)**********",,SP-A,288000.0,10.5,13.3,8000.0
157,10092344,Active,"champion, unitary products group - commercial","X2[W,X][1,2]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
158,10092345,Active,coleman,"X2[W,X][1,2]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
159,10092346,Active,fraser - johnston,"X2[W,X][1,2]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
160,10092347,Active,luxaire,"X2[W,X][1,2]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
161,10092348,Active,johnson controls,"S2[W,X][1,2]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
162,10092349,Active,"tempmaster, unitary products group - commercial","T2[W,X][1,2]1(2,4,5)************",,SP-A,288000.0,10.5,11.9,8000.0
163,10092350,Active,"champion, unitary products group - commercial","X2[W,X][1,2][2,3,4](2,4,5)************",,SP-A,288000.0,10.5,13.8,8000.0
164,10092351,Active,coleman,"X2[W,X][1,2][2,3,4](2,4,5)************",,SP-A,288000.0,10.5,13.8,8000.0
165,10092352,Active,fraser - johnston,"X2[W,X][1,2][2,3,4](2,4,5)************",,SP-A,288000.0,10.5,13.8,8000.0
166,10092353,Active,luxaire,"X2[W,X][1,2][2,3,4](2,4,5)************",,SP-A,288000.0,10.5,13.8,8000.0
167,10092354,Active,johnson controls,"S2[W,X][1,2][2,3,4](2,4,5)************",,SP-A,288000.0,10.5,13.8,8000.0
168,10092355,Active,"tempmaster, unitary products group - commercial","T2[W,X][1,2][2,3,4](2,4,5)************",,SP-A,288000.0,10.5,13.8,8000.0
169,10092356,Active,"champion, unitary products group - commercial","X2[W,X][1,2][5,6,7](2,4,5)************",,SP-A,288000.0,10.5,13.3,8000.0
170,10092357,Active,coleman,"X2[W,X][1,2][5,6,7](2,4,5)************",,SP-A,288000.0,10.5,13.3,8000.0
171,10092358,Active,fraser - johnston,"X2[W,X][1,2][5,6,7](2,4,5)************",,SP-A,288000.0,10.5,13.3,8000.0
172,10092359,Active,luxaire,"X2[W,X][1,2][5,6,7](2,4,5)************",,SP-A,288000.0,10.5,13.3,8000.0
173,10092360,Active,johnson controls,"S2[W,X][1,2][5,6,7](2,4,5)************",,SP-A,288000.0,10.5,13.3,8000.0
174,10092361,Active,"tempmaster, unitary products group - commercial","T2[W,X][1,2][5,6,7](2,4,5)************",,SP-A,288000.0,10.5,13.3,8000.0
175,10092362,Active,"champion, unitary products group - commercial","X4[N,S,D,T][3,5,8]1(2,4,5)************",,SPY-A,435000.0,10.7,11.6,11650.0
176,10092363,Active,coleman,"X4[N,S,D,T][3,5,8]1(2,4,5)************",,SPY-A,435000.0,10.7,11.6,11650.0
177,10092364,Active,fraser - johnston,"X4[N,S,D,T][3,5,8]1(2,4,5)************",,SPY-A,435000.0,10.7,11.6,11650.0
178,10092365,Active,luxaire,"X4[N,S,D,T][3,5,8]1(2,4,5)************",,SPY-A,435000.0,10.7,11.6,11650.0
179,10092366,Active,johnson controls,"S4[N,S,D,T][3,5,8]1(2,4,5)************",,SPY-A,435000.0,10.7,11.6,11650.0
180,10092367,Active,"tempmaster, unitary products group - commercial","T4[N,S,D,T][3,5,8]1(2,4,5)************",,SPY-A,435000.0,10.7,11.6,11650.0
181,10092368,Active,"champion, unitary products group - commercial","X4[N,S,D,T][3,5,8][2,3,4](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
182,10092369,Active,coleman,"X4[N,S,D,T][3,5,8][2,3,4](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
183,10092370,Active,fraser - johnston,"X4[N,S,D,T][3,5,8][2,3,4](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
184,10092371,Active,luxaire,"X4[N,S,D,T][3,5,8][2,3,4](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
185,10092372,Active,johnson controls,"S4[N,S,D,T][3,5,8][2,3,4](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
186,10092373,Active,"tempmaster, unitary products group - commercial","T4[N,S,D,T][3,5,8][2,3,4](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
187,10092374,Active,"champion, unitary products group - commercial","X4[N,S,D,T][3,5,8][5,6,7](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
188,10092375,Active,coleman,"X4[N,S,D,T][3,5,8][5,6,7](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
189,10092376,Active,fraser - johnston,"X4[N,S,D,T][3,5,8][5,6,7](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
190,10092377,Active,luxaire,"X4[N,S,D,T][3,5,8][5,6,7](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
191,10092378,Active,johnson controls,"S4[N,S,D,T][3,5,8][5,6,7](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
192,10092379,Active,"tempmaster, unitary products group - commercial","T4[N,S,D,T][3,5,8][5,6,7](2,4,5)********",,SPY-A,435000.0,10.7,13.6,11650.0
193,10092380,Active,"champion, unitary products group - commercial","X4[C,E][0,1,2,4,8]1(2,4,5)************",,SP-A,435000.0,10.7,11.6,11650.0
194,10092381,Active,coleman,"X4[C,E][0,1,2,4,8]1(2,4,5)************",,SP-A,435000.0,10.7,11.6,11650.0
195,10092382,Active,fraser - johnston,"X4[C,E][0,1,2,4,8]1(2,4,5)************",,SP-A,435000.0,10.7,11.6,11650.0
196,10092383,Active,luxaire,"X4[C,E][0,1,2,4,8]1(2,4,5)************",,SP-A,435000.0,10.7,11.6,11650.0
197,10092384,Active,johnson controls,"S4[C,E][0,1,2,4,8]1(2,4,5)************",,SP-A,435000.0,10.7,11.6,11650.0
198,10092385,Active,"tempmaster, unitary products group - commercial","T4[C,E][0,1,2,4,8]1(2,4,5)************",,SP-A,435000.0,10.7,11.6,11650.0
199,10092386,Active,"champion, unitary products group - commercial","X4[C,E][0,1,2,4,8][2,3,4](2,4,5)********",,SP-A,435000.0,10.7,13.6,11650.0
200,10092387,Active,coleman,"X4[C,E][0,1,2,4,8][2,3,4](2,4,5)********",,SP-A,435000.0,10.7,13.6,11650.0
201,10092388,Active,fraser - johnston,"X4[C,E][0,1,2,4,8][2,3,4](2,4,5)********",,SP-A,435000.0,10.7,13.6,11650.0
